,Comment Head,Rating,Review,Name,Date
10,Good one,4,Good product but have range issue after some time due to its antenna problem,Rahul , 6 August 2022
11,Reliable Product,5,It's been 2 and a half year of this phone and still working like butter. Awesome product👍,Rohit shaw, 16 September 2022
12,Good quality,4,Nice product,Siva Kumar K, 18 August 2022
13,Best quality phone review after 3years of use,5,Wonderful quality phone. Now it's been 3years of use. No lag. Good quality camera. Better build quality. Vedio stebilzation is the only con. Highly recommended.,Deepu Sagar V, 10 September 2022
14,Excellent phone.,5,Excellent phone. No issues I faced more than 2years of usage,Vijay Raj, 13 September 2022
15,Ok ok,4,Not very good. Night camera is very poor. Normal is very good. Battery is very poor.,PK, 27 July 2022
16,Super,4,Super,M. Vijaya bhaskar, 3 August 2022
17,"Redmi Note 8 Pro (Shadow Black, 6GB | 64GB) - A Camera Beast - Gaming Powerhouse",5,"Redmi Note 8 ProDESIGN  -  Solid and Well built, Front & back Gorilla Glass 5 protection with curved edges. The camera bump at the back protrudes a little even when the cover is on, may be a matter of concern. Please look for a Silicon cover to protect the camera module.PROCESSOR  -  This houses the newest chipset from MediaTek Helio G90T which is basically designed for gaming. This not only helps the phone to load & play high graphic intensive games fast & smooth, but it also helps in quick loading and swapping of Apps in a day to day usage. The overall performance is amazingly fast and buttery. Those who are complaining of heating issues, should buy ACs before buying phones for playing games for hours..STORAGE & RAM  -  This comes with the fast UFS 2.1 onboard storage that help load apps ultra-fast, as compare to old eMMC 5.1 type storage. The basic model starts with 6 GB LPDDR4 RAM with Dual Channel Enabled. This helps increase the bandwidth by double the data rate as against the single channel RAM. Everything loads amazingly fast with no lags as such.Supports up to a whopping 512 GB of storage with a dedicated Micro SD Card slot. This is what we want in every phone…DISPLAY  -  6.53” IPS LCD Panel with 395 PPI density and 2.5D curved edges. This display is of a 1080 x 2340 Resolution with HDR Enabled so the colors look very vibrant and true to life. The water drop notch looks very nice and it can be disabled from settings. Personally, to me the display looked very crisp and sharp. The brightness of this display can go up to 430nits which is very bright and display looks amazingly sharp and crisp… 4k HDR video quality on YouTube is amazing on this display...CAMERA  -  This is where it exceeds all other phones. The default 12 MP Camera takes nice pictures in all modes. The 64 MP mode can be enabled from the camera app and it captures amazing pictures with great clarity colours and contrast. The pictures with 64 MP camera come out to be very crisp and with lots of details. But the image size for 64 MP camera would be approximately around 15 MB per picture. This can record the videos up to 4k Resolution. However, Full HD videos will have an Electronic Stabilization enabled by default which produces great videos. Macros also come very crisp considering that this is a Mobile camera but, not the DSLR.Front 20 MP Camera also captures wonderful selfies with lots of detail. This can record videos up to Full HD resolution. This phone does a great job in Camera department. This will surely satisfy your hunger for great pictures…Those who are looking for Gcam support, should take mobiles that support it or should buy google phones instead of complaining about this phone. The company has offered a good package with great camera and it does a wonderful job. People who are looking for an astonishing clarity Camera then they should look for a DSLRs or buy flagship phones.Attaching few pictures for reference…CONNECTIVITY  -  Supports Dual 4G VoLTE on both SIM Cards simultaneously. Dual Band Wi-Fi that increases both Upload and Download speeds dramatically if connected to Wi-Fi 5GHz connection.Comes with Bluetooth 5 with LE (Low Energy) mode on that helps preserve battery drain..BATTERY  -  A Whopping 4500 mAh Battery with Quick Charge support.VERDICT  -  One Word – A Monster in all aspects, be it a Design, Style, Battery, Display and Camera. Except its weight of 200Gms, this is one piece of art and technology that nobody wants to miss having it…Every product will have their own issues and bugs, including flagships that can be fixed with a software update.  And every product cannot be compared with another since everything has its own existence and importance.Thanks to Amazon for safe packaging and fast delivery…",Sarkhazi, 8 November 2019
18,Good performance since more than 2yrs,4,                    The media could not be loaded.                 Carmera is very good gives clear pictures & videos.. Watch my uploaded photos &videos... Battery is good even after 6hours continues use.,Lakshminarayananaik, 28 July 2022
19,nyc,5,windows,Richa, 13 September 2022
20,Best,4,Worth of money,Krishna, 21 July 2022
21,Wonderful,5,It's been 2 years and plus I'm using this mobile..This is just an awesome one which helped me a lot in my startup journey..Very thankful to redmi and Amazon to get this produ t,Jothiraman, 22 August 2022
22,Best smartphone under the budget,5,This review I am writing after extensive use of 2.5 yrs and still it is good to use,Rahul Rai, 26 August 2022
23,Good,5,Good,Rohit soni , 11 September 2022
24,Average,3,Not good mobile,Mobin, 21 September 2022
25,Value for money,4,"Probably the best phone in this price range. Pro's and con's are as follows.Pro's : 1) Powerful Mediatek Helio G90T. No less than a flagship processor. You can easinly play all high end graphics games without any lag on high settings. PUBG Mobile is buttery smooth on HDR + ULTRA frame rate.2) Camera : Primary camera performs well for the price range. 64 Megapixel works perfectly but struggles in indoor lighting conditions. Selfi camera performs well.3) Battery : 4500 mAh battery works perfectly. Device gets full charged from 10% within one hour given conditions that internet,wifi,bt should be turned off and device not being used while charging.4) finger print reader works fine. It will work 8 or 9 times out of 10. For me, it even forks if I have a bit moisture on my finger.5) Build quality : Corning Gorilla glass 5 works exceptionally well. I've accidentally dropped my phone from 3 -4 feet height a couple of times without back cover and it didn't get a single scratch.6) AI mode in camera app gives you best results most of the times.7) Design elements : I think this is relative term. Few people will like the design and some may not. I personally like it.8) IPS panel with hdr+ works very good. Viewing angles are great.Cons:1) Wide angle camera is only usable for properly lighen up places. Low light conditions add huge amount of colour noise. Macro camera is of no use at all. Atleast for me. Picture quality is poor. They should've given zoom lens instead of that.2) HEATING ISSUES : they have mentioned it comes with liquid cool technology but I personally didn't feel any use of it. Device gets heat up near upper left corner on the back side while heavy usage.3) Device gets heatup quickly while recording 4k or 60 fps videos. After recording for 15 mins (Not continuously) in the afternoon it got heated up and system restricted camera operations due to overheating.It gets heat up while playing games on high settings as well. But I am glad it doesn't affect performance but sometimes it becomes really uncomfortable to hold the heated device.4) Game turbo : Game turbo works fine but it has a major issue. It comes with a game dnd but I don't know why it doesn't restrict popup notifications. It doesn't even has an option to turn off pop-up notifications while playing games. If you're using 3 or 4 finger claw while playing pubg, you'll atleast once or twice accidentally tap all those annoying pop-up notifications while playing game.5) Face Unlock : Face unlock works fine but has an issue. It unlocks the phone even if you're not looking in the camera. This should be fixed in an update asap.6) No regular updates : No wonder it comes with MIUI so, you have to get used to late updates. I've brought this phone in the December last year, now it's june and it still has December security patch, didn't receive any updates.7) Comes with bloatware as usual in all Redmi phones.Overall device has given me good results in past 6 months of usage. I would say it WAS a value for money device when it was priced ₹14,999. Now the prices are increased by around 1.5k, it's still a very good price for this device but 1.5k is a huge price hike.",kaushal, 2 June 2020
26,Ok,5,Nice,Satish, 31 August 2022
27,Good,4,Good one,Deepu s, 11 July 2022
28,A good one.,4,Good one. Can blindly trust and buy this product.,Madhu, 7 July 2022
29,Best phone,5,Super quality,Bunyy, 24 August 2022
30,just short of perfect,4,"after using more than 10 days. the honest review is here lets talk in points and i will try to give you every answer1 built quality- excellent quality and looks great but it is bit heavy becouse you will definately use a case with this phone otherwise you will feel risk .without back cover looks great and will not feel heavy and another thing is that camera is quit out from body so there are chances of getting scraches2. sound- you will miss dolby sound. the sound is good and moderately loud but dont expect the great3. performance- thats where it beats the all. i dont think you will find that kind of performance upto rs 20-22000 mobiles. absolutely class4. PUBG- pubg lovers if you want a phone specially for pubg dont let thsis phone go .excellent gaming5. heating issue?- only if you use this phone for long time with continous gaming.and with high graphics. otherwise no issue even you watch a full movie with wifi. only while gaming after one hour on full hd graphics6. display- butter smooth display quit large and excellent display best in claass but will not produce colours as super amoled just a littel bit of diferrence between the two  but you will not find much differance in day to day life . so full marks for display7. battery- i will say a decent battery life considering 6.5 inch display and a a heavy processorcamera?- this is the biggest of alll and i am giving you a detailed review for this. camera is superb no doubt even in low light it performes vary well and after zooming the photos you will not get blur images at all. potrait mode is one of the best in this segments .but now the cons of cameraslow motion and wide camera are poor. vary poor quality i am not impressed at all. slow motion video you can capture only from short or close distance otherwise not good at all and even you cant shoot in artificial lights is well. and wide camera does not produces good quality pictures. macro camera is excellent.and the last con of camera i compaired this camera with iphone xr and vivo v15pro . in terms of details it is totally equall to them but colours of the pics is not that great but decent in comaprison you will find colours bitt dull but that does not mean they are better . they only produces better colour otherwise same. but one thing to notice both iphone and vivo captures the colour more saturated than orignal even they dont produces real colours. redmi shows littel light colours than real and xr iphone and vivo littel dark than orignal .camera is vary good and you will get good pictures and for colour you can adjust them with some photo editing. so no issues. final verdict on camera is .that it is a good camera and you will not be disspointedworth the money you spendgreat display good camera good battery good built qualitylittel heavy, sound lacks dolby quality.camera slow motion and wide angel not goodi will say only compititor for this phone is Vivo z1x in this price segment.you can buy any of this phone depends on your demands",Amazon Customer, 7 November 2019
31,The Redmi Note 8 Pro is powered by the MediaTek G90T gaming processor.,5,"Redmi Note 8 Pro Specifications:6.53-inch full HD+ (1080p) display | MediaTek G90T octa-core processor | 6GB or 8GB RAM with 64GB or 128GB storage with expandable storage support up to 512GB |  64MP main camera + 8MP ultra-wide + 2MP macro + 2MP depth camera + 20MP camera | 4500 mAh battery with 18W fast charging | MIUI 10 with Android Pie (9) |Redmi Note 8 Pro Review: CameraThis is the part which Xiaomi is hyping up, given there’s a 64MP camera out here. The automatic resolution is 16MP. The camera produces bright photos with accurate color tones, even at night. The selfies are impressive on this phone, and it creates a nice depth in Portrait mode, though it is not all perfect with edges on the hair.Redmi Note 8 Pro Review: Performance, batteryGames like Asphalt 9, Badland, Nova Legacy all ran without any hitches. I switched Asphalt 9 to high graphics settings and the phone had no problems handling it. The graphics looked smooth without any lag. In regular usage, be it just browsing on social media or using the phone to edit photos to keeping 20 tabs open on Chrome, the experience was smooth.The only issue I noticed, the phone also got warm around the top when gaming for too long. On the battery front, the Redmi Note 8 Pro has a 4500 mAh battery. The 18W fast charger ensures a full charge in under two hours. With moderate usage, you can go up to two days on this phone, while heavy-duty usage means around one and a half days on the device.The Redmi Note 8 Pro runs MIUI 10 based on Android Pie. Xiaomi has said it will get MIUI 11 by the end of December. It does come with Alexa pre-loaded, though Google Assistant is there as well.Redmi Note 8 Pro Review: Design, DisplayThe Redmi Note 8 Pro has a curved back design, though this is a broad and bulky device compared to the previous variant. One reason is the bigger battery. Redmi Note 8 Pro also has a bigger display at 6.53-inches, with the full HD+ resolution. The curved back means it is easier to hold this with one hand, but the size of the device might not always make it possible.The positioning of the fingerprint sensor right at the bottom of the camera module is not ideal either, because you will end up touching the lens like I did and covering it with smudges. The macro camera is placed away from the other three sensors to the right with flash on top of it. The idea here is to let people use flash to add more light when using macro shots.The display on the Redmi Note 8 Pro continues to be one of the best for its price. It does come with Widevine L1 certification you can stream content at HD or full HD on YouTube, Netflix, etc. The viewing angles are good, and this is a sharp display, which works well in most scenarios.",Abhiishek Mohta, 9 November 2019
32,Nice product keep it up 👍,5,Nice product keep it up 👍,vsneha, 20 August 2022
33,The perfect phone of it's segment,5,"Using this from a long time, still great battery life, nice camera in its price band and the build quality is awesome. This phone not just looks good and strong, it is of very good build quality.Helio G90T does fairly with bgmi/pubg.Charging speed is good and battery life is very good.",Ravi, 25 July 2022
34,Good,5,                    The media could not be loaded.                 Good,Gyanendra Shakya, 17 September 2022
35,Good phone,4,But to much cost as compared now,Vishal Sarkar, 27 June 2022
36,Awesome,4,"I have been using this awesome mobile, I found it very useful, easy to use, good battery, overall awesome product by Redmi",Siddharth, 15 June 2022
37,Good,5,Good,Amazon Customer, 19 August 2022
38,Value of money,4,Value of money,Dharmendra, 26 June 2022
39,Excellent product,4,"Redmi never dissapoints me, it is 6th redmi phone that i purchased, I frequently update my phone, and I got the best value for money and latest tech phone from. Redmi",Hritik, 6 June 2022
40,This is an in depth review of this phone after using it for 18 days,5,"I bought this phone on first sale which was on 21st October and got it on the same day by paying 100 Rs extra for fast delivery and today after using it for 18 days I am writing this review So who ever want to buy this phone please read this this is an honest reviewPros:-1:- Helio G90T processor is great as it is pretty fast and makes phone snappy, you can play pubg on hdr and ultra fps or smooth extreme fps no lag so far and no heating many people were saying it heats a lot and all that stuff but in reality my phone doesn't heat and i play for min 2-3 hrs daily on smooth extreme and i play with cover so it explains everything that the liquid cooling in it works really well and there is no heating issue2:- It has a massive 6.53 in HDR 10 enable display which is pretty big and the bezels are too thin you can see only screen and the touch response is great in this phone while Playing games like pubg, COD etc overall screen is great.3:- It comes with quad camera setup the picture taken with it are great and the 64 mp camera does a great job with details and its potrait mode is great too, the wide angle camera does a really great job and takes a great field of view and the macro camera actually works and click some really awesome images and video recording is great too you can record 1080p 60fps with stabilization and slow motion upto 960 fps you can also record videos on wide angle camera and macro camera and the selfie camera is good too it takes overall good selfies in low light too and natural images no artificial beautyfy no skin smoothing crap like oppo, vivo and realme.4:- Battery life of this phone is great i get nearly 12 hr of screen on time and it includes 2-3 hr of COD 3 hr of YouTube and all social media apps like instagram, WhatsApp, twitter, facebook, taking photos, and watching Anime on Chrome for 2hrs and shopping apps like Amazon, Flipkart, Myntra, Club factory etc for 1-2 hrs and i am done for the day still 1% remaining and it takes 1hr 30min to charge from 1 to 90 and I will recommend you not to charge phone over 90 % as it is good for battery health in long term and the above data i told you was from 100-1% battery to get the perfect screen on time.5:- Fingerprint scanner is pretty fast and reliable and face unlock is great too as it's fast and accurate.Sorry I can't put pictures i clicked from this phone as they are all personal and private pictures.Cons:-1:- Because of the HDR10 support the videos on YouTube seems a little whiteish and it annoyed me at the start but I am used to it now.2:- It takes 30min to charge from 90 to 100 %3:- The camera bump is too much you can't put your phone on floor on backside or you will get scratch on your camera lens.4:- The Helio G90T processor is based on 12nm technology so it's not that battery efficient and for now it has no Google camera support if it would come with Google camera support in future the photos will be on next level.Those are the only  cons i found till nowThank you.",Sanjay R., 10 November 2019
41,Best phone,4,"Best phone with best camera, storage and touch",Darshan, 13 June 2022
42,This phone has survived a waterfall,5,"This phone has been a part of my life for more than three years and it's been worth every penny. When it arrived with a clear case, I put it on and the case now is a little yellowed but does it's job just fine. This phone has fallen down on the road, out of a rickshaw, bounced off surfaces and fallen to the ground and even survived a waterfall for over five seconds on a trip. I had pulled it out to take a picture and thought haha thank god I'm clutching on to my phone tight, it falling in the waterfall would not be good at all and lo and behold, it plunged straight into the water. My inital reaction was of shock and then panic which explains the five seconds. I thought, when I pulled the dripping phone out, that it definitely wouldn't work and it had finally gasped its last breath but this miracle of a phone worked without a glitch, no sweat. Definitely buy.",neeti c., 9 May 2022
43,Quality is good,5,Quality is good but high price,sarjan, 7 August 2022
44,Pretty decent for a midrange phone.,3,"It's a good medium range phone that I've been using since 10 day so my review is based on this time frame.I was using a Samsung s9+ since 2 yrs and still use a redmi note 4 as a secondary phone  since almost 4 yrs. While the red. I note 4 has been working super well The samsung AMOLED screen developed problems within 2 yrs and  repairing was costing 50% of the cost of a new phone. For this reason I didn't want to spend akt of a new phone a d the Note 8 pro fitted my price - features ratio budget well.The note 8 pro uses an IPS display as compared to the newer series of redmi and other brands which use AMOLED. AMOLED though is a better technology as far as displays are concerned but it has too many flaws and shortcomings. Just Google AMOLED issues on phones and you will see...Coming to the redmi note 8, below is what I liked / disliked...Pros:- product feature - price ratio is good. You get a good bang for the buck you spend.- fingerprint sensor and face unlock feature work flawlessly and have a quick response-battery life is pretty good. Works almost a day and a half.- screen touch flow and response is very smooth and effortless. Obviously this is due to a combination of a good screen, Screen sensor and software- infrared sensor is a very nice feature to still have in a phone today to control your gadgets- built in Alexa is also helpful and easy to setup-The halo white color looks nice and different though it's more of a light blueish tinge than white.-processor is also pretty fast. Didn't find any lagging with higher end games though I'm. Mt a avid gamer and didn't play for too long. Some. People complained about the phone getting hot after playing PUBG etc after a 15-20 mins.-camera quality is decent and while you cannot compare to a higher end samsung like my s9+ but it's good for the price you pay. It does disappoint in low light and night but. Kst low to. Wdium budget phones have this issue. The wide and ultra wide settings in the camera pro mode do a pretty decent job. MACRO shots are pretty OK top.. Not one of the best but passable. Ironically the note 8 pro has a better camera and video output than the newer note 9 pro / pro max. Another reason why I went for this earlier model.Cons:- The built in speaker output is not the loudest. Some other phones in the same budget sound louder.-battery charging could have been faster. 1.5 hrs for a full charge is not the fastest but it's good enough.-too much built in extra software / bloat ware is not a good thing. In some of these we can't even switch off ads.-for a medium price phone headphones and screen guard should have been provided",Sam Sam, 27 July 2020
45,Assm,5,Awsm,Yogesh kumar, 9 August 2022
46,Good,5,Good,Sayeb Farhan, 9 August 2022
47,Device is fine upto 2 years. But don't buy any mi product if you want mobile for longer life.,4,Worst service provider of devices get repaired. Delay in process. No ETA for any service. You need to spend time on issues to resolve. They don't bother they follow the same low quality service.After 2 years of usage giving this review.Had almost every gadget from mi.com only.But what ever I bought that's the last one I bought from mi.No lony wants to buy mi products.Don't waste money and time.,Shaik PeeeaMohidin, 6 April 2022
48,I review after 3 years ago,4,Review after 3 years ago product is amazing but my phone was stolen so I can't upload any photos and video regarding this product,Anshuu Roshan, 28 May 2022
49,Durable and excellent mobile .,5,Durable and excellent mobile . still using the same mobile. from last more than 2 year,Mahesh Zirape, 28 July 2022
